"","dist_F7413","dist_F7537","dist_F9689","RID","min_dist","min_FID","min_inv_dist","Block_y","Tract","BID"
"137",Inf,Inf,Inf,10071,Inf,"7413",0,1023,514,"1023514"
"138",Inf,Inf,Inf,8065,Inf,"7413",0,1024,514,"1024514"
"139",Inf,Inf,Inf,8369,Inf,"7413",0,1024,514,"1024514"
"140",Inf,Inf,Inf,8864,Inf,"7413",0,1024,514,"1024514"
"141",Inf,Inf,Inf,9925,Inf,"7413",0,1024,514,"1024514"
"142",Inf,Inf,Inf,9285,Inf,"7413",0,1024,514,"1024514"
"143",Inf,Inf,Inf,9076,Inf,"7413",0,1024,514,"1024514"
"144",Inf,Inf,Inf,8947,Inf,"7413",0,1024,514,"1024514"
"145",Inf,Inf,Inf,9656,Inf,"7413",0,1024,514,"1024514"
"146",Inf,Inf,Inf,9013,Inf,"7413",0,1024,514,"1024514"
"147",Inf,Inf,Inf,10827,Inf,"7413",0,1023,514,"1023514"
"148",Inf,Inf,Inf,10569,Inf,"7413",0,1025,514,"1025514"
"149",Inf,Inf,Inf,9923,Inf,"7413",0,1025,514,"1025514"
"150",Inf,Inf,Inf,7433,Inf,"7413",0,1025,514,"1025514"
"151",Inf,Inf,Inf,8944,Inf,"7413",0,1025,514,"1025514"
"152",Inf,Inf,Inf,10209,Inf,"7413",0,1025,514,"1025514"
"153",Inf,Inf,Inf,9516,Inf,"7413",0,1025,514,"1025514"
"154",Inf,Inf,Inf,9284,Inf,"7413",0,1025,514,"1025514"
"155",Inf,Inf,Inf,7644,Inf,"7413",0,1026,514,"1026514"
"156",Inf,Inf,Inf,9228,Inf,"7413",0,1026,514,"1026514"
"157",Inf,Inf,Inf,8732,Inf,"7413",0,1026,514,"1026514"
"158",Inf,Inf,Inf,7821,Inf,"7413",0,1026,514,"1026514"
"159",Inf,Inf,Inf,9933,Inf,"7413",0,1026,514,"1026514"
"160",123,78,192,7883,78,"7537",0.0128205128205128,2000,514,"2000514"
"161",126,81,195,8157,81,"7537",0.0123456790123457,2000,514,"2000514"
"162",127,82,196,7443,82,"7537",0.0121951219512195,2000,514,"2000514"
"163",129,84,198,9161,84,"7537",0.0119047619047619,2000,514,"2000514"
"164",128,83,197,8586,83,"7537",0.0120481927710843,2000,514,"2000514"
"165",130,85,199,9931,85,"7537",0.0117647058823529,2000,514,"2000514"
"166",126,81,195,7882,81,"7537",0.0123456790123457,2000,514,"2000514"
"167",134,89,203,9798,89,"7537",0.0112359550561798,2000,514,"2000514"
"168",137,92,206,8729,92,"7537",0.0108695652173913,2000,514,"2000514"
"169",142,97,211,7943,97,"7537",0.0103092783505155,2000,514,"2000514"
"170",157,112,226,7195,112,"7537",0.00892857142857143,2000,514,"2000514"
"171",159,114,228,9158,114,"7537",0.0087719298245614,2000,514,"2000514"
"172",161,116,230,7364,116,"7537",0.00862068965517241,2000,514,"2000514"
"173",162,117,231,7880,117,"7537",0.00854700854700855,2000,514,"2000514"
"174",166,121,235,7362,121,"7537",0.00826446280991736,2000,514,"2000514"
"175",168,123,237,7361,123,"7537",0.00813008130081301,2000,514,"2000514"
"176",172,127,241,8582,127,"7537",0.0078740157480315,2000,514,"2000514"
"177",176,131,245,8950,131,"7537",0.00763358778625954,2000,514,"2000514"
"178",180,135,249,9287,135,"7537",0.00740740740740741,2000,514,"2000514"
"179",182,137,251,9928,137,"7537",0.0072992700729927,2000,514,"2000514"
"180",185,140,254,8723,140,"7537",0.00714285714285714,2000,514,"2000514"
"181",186,141,255,9660,141,"7537",0.00709219858156028,2000,514,"2000514"
"182",186,141,255,9659,141,"7537",0.00709219858156028,2000,514,"2000514"
"183",185,140,254,9519,140,"7537",0.00714285714285714,2000,514,"2000514"
"184",183,138,252,10072,138,"7537",0.0072463768115942,2000,514,"2000514"
"185",178,133,247,9520,133,"7537",0.0075187969924812,2000,514,"2000514"
"186",173,128,242,9359,128,"7537",0.0078125,2000,514,"2000514"
"187",Inf,Inf,Inf,10215,Inf,"7413",0,2000,514,"2000514"
"188",Inf,Inf,Inf,10634,Inf,"7413",0,2000,514,"2000514"
"189",Inf,Inf,Inf,8951,Inf,"7413",0,2000,514,"2000514"
"190",Inf,Inf,Inf,9150,Inf,"7413",0,2000,514,"2000514"
"191",154,109,223,10497,109,"7537",0.00917431192660551,2000,514,"2000514"
"192",Inf,Inf,Inf,9015,Inf,"7413",0,2000,514,"2000514"
"193",150,105,219,8087,105,"7537",0.00952380952380952,2000,514,"2000514"
"194",148,103,217,7939,103,"7537",0.00970873786407767,2000,514,"2000514"
"195",144,99,213,10076,99,"7537",0.0101010101010101,2000,514,"2000514"
"196",131,86,200,9592,86,"7537",0.0116279069767442,2001,514,"2001514"
"197",133,88,202,7119,88,"7537",0.0113636363636364,2001,514,"2001514"
"198",133,88,202,8802,88,"7537",0.0113636363636364,2001,514,"2001514"
"199",134,89,203,9373,89,"7537",0.0112359550561798,2001,514,"2001514"
"200",138,93,207,10898,93,"7537",0.010752688172043,2001,514,"2001514"
"201",140,95,209,9796,95,"7537",0.0105263157894737,2001,514,"2001514"
"202",141,96,210,10219,96,"7537",0.0104166666666667,2001,514,"2001514"
"203",143,98,212,8803,98,"7537",0.0102040816326531,2001,514,"2001514"
"204",147,102,216,9291,102,"7537",0.00980392156862745,2001,514,"2001514"
"205",145,100,214,10078,100,"7537",0.01,2001,514,"2001514"
"206",149,104,218,8952,104,"7537",0.00961538461538462,2001,514,"2001514"
"207",147,102,216,8868,102,"7537",0.00980392156862745,2001,514,"2001514"
"208",146,101,215,9795,101,"7537",0.0099009900990099,2001,514,"2001514"
"209",153,108,222,8243,108,"7537",0.00925925925925926,2001,514,"2001514"
